run_name,final_train_accuracy,final_val_accuracy,final_train_loss,final_val_loss,lr,weight_decay,dropout,hidden_dim,layers_to_unfreeze,batch_size
run_001: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9574826352346874,0.9214145383104124,0.1098804216564542,0.264916161437517,0.0001,0.0,0.4,128,2,32
run_002: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.96263944432751,0.925343811394892,0.0966503447989267,0.251602814333378,0.0001,0.0,0.4,128,2,64
run_003: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9672700484108608,0.9341846758349704,0.0873323381550875,0.2575021613616137,0.0001,0.0,0.4,128,3,32
run_004: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.967059566407072,0.9336935166994106,0.0890207456848641,0.1986195359576661,0.0001,0.0,0.4,128,3,64
run_005: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9532729951589138,0.924852652259332,0.1213122176053874,0.2259729605438901,0.0001,0.0,0.4,256,2,32
run_006: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9624289623237212,0.9209233791748526,0.0976178531168988,0.2627006352884596,0.0001,0.0,0.4,256,2,64
run_007: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9735845085245212,0.93762278978389,0.0693248649382812,0.2538399487031232,0.0001,0.0,0.4,256,3,32
run_008: lr: 0.0001 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9733740265207323,0.9332023575638506,0.0719427505723302,0.2672235990320067,0.0001,0.0,0.4,256,3,64
run_009: lr: 0.0001 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.956430225215744,0.9238703339882122,0.114172360975663,0.2327072213171507,0.0001,0.0,0.5,128,2,32
run_010: lr: 0.0001 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9593769732687856,0.925343811394892,0.1060405348089839,0.260914063992341,0.0001,0.0,0.5,128,2,64
run_011: lr: 0.0001 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9753736055567248,0.9336935166994106,0.0725323033286405,0.2473435781471621,0.0001,0.0,0.5,128,3,32
run_012: lr: 0.0001 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9602189012839402,0.931237721021611,0.1023103766844313,0.2178554790193299,0.0001,0.0,0.5,128,3,64
run_013: lr: 0.0001 weight_decay: 0.0 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9609555882972004,0.9258349705304518,0.0990234013137955,0.2680553441578138,0.0001,0.0,0.5,256,2,32
run_014: lr: 0.0001 weight_decay: 0.0 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.972005893496106,0.9223968565815324,0.0757858777397953,0.2582283705648598,0.0001,0.0,0.5,256,2,64
